dexNumber,name,printingCount,tier,pickerGroupCount,pickerGroupSizes
125,Electabuzz,38,26-40,3,18|18|2
126,Magmar,37,26-40,3,18|18|1
127,Pinsir,34,26-40,2,18|16
128,Tauros,48,41-60,3,18|18|12
129,Magikarp,55,41-60,4,18|18|18|1
130,Gyarados,73,61-80,5,18|18|18|18|1
131,Lapras,57,41-60,4,18|18|18|3
132,Ditto,36,26-40,2,18|18
133,Eevee,116,101-120,7,18|18|18|18|18|18|8
134,Vaporeon,51,41-60,3,18|18|15
135,Jolteon,49,41-60,3,18|18|13
136,Flareon,52,41-60,3,18|18|16
137,Porygon,30,26-40,2,18|12
138,Omanyte,17,01-25,1,17
139,Omastar,19,01-25,2,18|1
140,Kabuto,15,01-25,1,15
141,Kabutops,20,01-25,2,18|2
142,Aerodactyl,31,26-40,2,18|13
143,Snorlax,68,61-80,4,18|18|18|14
144,Articuno,56,41-60,4,18|18|18|2
145,Zapdos,62,61-80,4,18|18|18|8
146,Moltres,55,41-60,4,18|18|18|1
147,Dratini,38,26-40,3,18|18|2
148,Dragonair,39,26-40,3,18|18|3
149,Dragonite,60,41-60,4,18|18|18|6
150,Mewtwo,101,101-120,6,18|18|18|18|18|11
151,Mew,67,61-80,4,18|18|18|13
152,Chikorita,21,01-25,2,18|3
153,Bayleef,13,01-25,1,13
154,Meganium,21,01-25,2,18|3
155,Cyndaquil,23,01-25,2,18|5
156,Quilava,17,01-25,1,17
157,Typhlosion,31,26-40,2,18|13
158,Totodile,25,01-25,2,18|7
159,Croconaw,18,01-25,1,18
160,Feraligatr,25,01-25,2,18|7
161,Sentret,15,01-25,1,15
162,Furret,12,01-25,1,12
163,Hoothoot,19,01-25,2,18|1
164,Noctowl,21,01-25,2,18|3
165,Ledyba,16,01-25,1,16
166,Ledian,16,01-25,1,16
167,Spinarak,21,01-25,2,18|3
168,Ariados,21,01-25,2,18|3
169,Crobat,47,41-60,3,18|18|11
170,Chinchou,32,26-40,2,18|14
171,Lanturn,31,26-40,2,18|13
172,Pichu,18,01-25,1,18
173,Cleffa,19,01-25,2,18|1
174,Igglybuff,11,01-25,1,11
175,Togepi,25,01-25,2,18|7
176,Togetic,18,01-25,1,18
177,Natu,21,01-25,2,18|3
178,Xatu,23,01-25,2,18|5
179,Mareep,33,26-40,2,18|15
180,Flaaffy,35,26-40,2,18|17
181,Ampharos,47,41-60,3,18|18|11
182,Bellossom,15,01-25,1,15
183,Marill,30,26-40,2,18|12
184,Azumarill,24,01-25,2,18|6
185,Sudowoodo,26,26-40,2,18|8
186,Politoed,12,01-25,1,12
187,Hoppip,18,01-25,1,18
188,Skiploom,16,01-25,1,16
189,Jumpluff,19,01-25,2,18|1
190,Aipom,25,01-25,2,18|7
191,Sunkern,13,01-25,1,13
192,Sunflora,15,01-25,1,15
193,Yanma,26,26-40,2,18|8
194,Wooper,35,26-40,2,18|17
195,Quagsire,21,01-25,2,18|3
196,Espeon,48,41-60,3,18|18|12
197,Umbreon,57,41-60,4,18|18|18|3
198,Murkrow,32,26-40,2,18|14
199,Slowking,31,26-40,2,18|13
200,Misdreavus,30,26-40,2,18|12
201,Unown,100,81-100,6,18|18|18|18|18|10
202,Wobbuffet,27,26-40,2,18|9
203,Girafarig,16,01-25,1,16
204,Pineco,23,01-25,2,18|5
205,Forretress,27,26-40,2,18|9
206,Dunsparce,25,01-25,2,18|7
207,Gligar,22,01-25,2,18|4
208,Steelix,41,41-60,3,18|18|5
209,Snubbull,24,01-25,2,18|6
210,Granbull,20,01-25,2,18|2
211,Qwilfish,16,01-25,1,16
212,Scizor,40,26-40,3,18|18|4
213,Shuckle,23,01-25,2,18|5
214,Heracross,31,26-40,2,18|13
215,Sneasel,36,26-40,2,18|18
216,Teddiursa,17,01-25,1,17
217,Ursaring,20,01-25,2,18|2
218,Slugma,27,26-40,2,18|9
219,Magcargo,33,26-40,2,18|15
220,Swinub,18,01-25,1,18
221,Piloswine,18,01-25,1,18
222,Corsola,16,01-25,1,16
223,Remoraid,17,01-25,1,17
224,Octillery,21,01-25,2,18|3
225,Delibird,17,01-25,1,17
226,Mantine,17,01-25,1,17
227,Skarmory,41,41-60,3,18|18|5
228,Houndour,37,26-40,3,18|18|1
229,Houndoom,52,41-60,3,18|18|16
230,Kingdra,34,26-40,2,18|16
231,Phanpy,28,26-40,2,18|10
232,Donphan,28,26-40,2,18|10
233,Porygon2,21,01-25,2,18|3
234,Stantler,14,01-25,1,14
235,Smeargle,21,01-25,2,18|3
236,Tyrogue,10,01-25,1,10
237,Hitmontop,17,01-25,1,17
238,Smoochum,9,01-25,1,9
239,Elekid,9,01-25,1,9
240,Magby,13,01-25,1,13
241,Miltank,22,01-25,2,18|4
242,Blissey,28,26-40,2,18|10
243,Raikou,31,26-40,2,18|13
244,Entei,41,41-60,3,18|18|5
245,Suicune,39,26-40,3,18|18|3
246,Larvitar,32,26-40,2,18|14
247,Pupitar,29,26-40,2,18|11
248,Tyranitar,50,41-60,3,18|18|14
249,Lugia,47,41-60,3,18|18|11
250,Ho-Oh,46,41-60,3,18|18|10
251,Celebi,44,41-60,3,18|18|8
252,Treecko,29,26-40,2,18|11
253,Grovyle,20,01-25,2,18|2
254,Sceptile,28,26-40,2,18|10
255,Torchic,36,26-40,2,18|18
256,Combusken,24,01-25,2,18|6
257,Blaziken,38,26-40,3,18|18|2
258,Mudkip,24,01-25,2,18|6
259,Marshtomp,15,01-25,1,15
260,Swampert,21,01-25,2,18|3
261,Poochyena,27,26-40,2,18|9
262,Mightyena,26,26-40,2,18|8
263,Zigzagoon,17,01-25,1,17
264,Linoone,16,01-25,1,16
265,Wurmple,16,01-25,1,16
266,Silcoon,11,01-25,1,11
267,Beautifly,14,01-25,1,14
268,Cascoon,11,01-25,1,11
269,Dustox,13,01-25,1,13
270,Lotad,19,01-25,2,18|1
271,Lombre,17,01-25,1,17
272,Ludicolo,19,01-25,2,18|1
273,Seedot,21,01-25,2,18|3
274,Nuzleaf,20,01-25,2,18|2
275,Shiftry,24,01-25,2,18|6
276,Taillow,16,01-25,1,16
277,Swellow,16,01-25,1,16
278,Wingull,15,01-25,1,15
279,Pelipper,17,01-25,1,17
280,Ralts,41,41-60,3,18|18|5
281,Kirlia,41,41-60,3,18|18|5
282,Gardevoir,66,61-80,4,18|18|18|12
283,Surskit,17,01-25,1,17
284,Masquerain,16,01-25,1,16
285,Shroomish,19,01-25,2,18|1
286,Breloom,18,01-25,1,18
287,Slakoth,19,01-25,2,18|1
288,Vigoroth,16,01-25,1,16
289,Slaking,17,01-25,1,17
290,Nincada,11,01-25,1,11
291,Ninjask,11,01-25,1,11
292,Shedinja,10,01-25,1,10
293,Whismur,14,01-25,1,14
294,Loudred,13,01-25,1,13
295,Exploud,12,01-25,1,12
296,Makuhita,24,01-25,2,18|6
297,Hariyama,19,01-25,2,18|1
298,Azurill,6,01-25,1,6
299,Nosepass,24,01-25,2,18|6
300,Skitty,28,26-40,2,18|10
301,Delcatty,26,26-40,2,18|8
302,Sableye,39,26-40,3,18|18|3
303,Mawile,47,41-60,3,18|18|11
304,Aron,24,01-25,2,18|6
305,Lairon,24,01-25,2,18|6
306,Aggron,25,01-25,2,18|7
307,Meditite,25,01-25,2,18|7
308,Medicham,28,26-40,2,18|10
309,Electrike,38,26-40,3,18|18|2
310,Manectric,42,41-60,3,18|18|6
311,Plusle,22,01-25,2,18|4
312,Minun,23,01-25,2,18|5
313,Volbeat,11,01-25,1,11
314,Illumise,11,01-25,1,11
315,Roselia,18,01-25,1,18
316,Gulpin,13,01-25,1,13
317,Swalot,9,01-25,1,9
318,Carvanha,25,01-25,2,18|7
319,Sharpedo,30,26-40,2,18|12
320,Wailmer,17,01-25,1,17
321,Wailord,28,26-40,2,18|10
322,Numel,25,01-25,2,18|7
323,Camerupt,30,26-40,2,18|12
324,Torkoal,26,26-40,2,18|8
325,Spoink,20,01-25,2,18|2
326,Grumpig,18,01-25,1,18
327,Spinda,12,01-25,1,12
328,Trapinch,22,01-25,2,18|4
329,Vibrava,21,01-25,2,18|3
330,Flygon,32,26-40,2,18|14
331,Cacnea,19,01-25,2,18|1
332,Cacturne,15,01-25,1,15
333,Swablu,31,26-40,2,18|13
334,Altaria,47,41-60,3,18|18|11
335,Zangoose,18,01-25,1,18
336,Seviper,20,01-25,2,18|2
337,Lunatone,19,01-25,2,18|1
338,Solrock,21,01-25,2,18|3
339,Barboach,12,01-25,1,12
340,Whiscash,13,01-25,1,13
341,Corphish,22,01-25,2,18|4
342,Crawdaunt,19,01-25,2,18|1
343,Baltoy,28,26-40,2,18|10
344,Claydol,25,01-25,2,18|7
345,Lileep,12,01-25,1,12
346,Cradily,10,01-25,1,10
347,Anorith,11,01-25,1,11
348,Armaldo,10,01-25,1,10
349,Feebas,21,01-25,2,18|3
350,Milotic,31,26-40,2,18|13
351,Castform,27,26-40,2,18|9
352,Kecleon,15,01-25,1,15
353,Shuppet,20,01-25,2,18|2
354,Banette,25,01-25,2,18|7
355,Duskull,23,01-25,2,18|5
356,Dusclops,20,01-25,2,18|2
357,Tropius,22,01-25,2,18|4
358,Chimecho,16,01-25,1,16
359,Absol,41,41-60,3,18|18|5
360,Wynaut,7,01-25,1,7
361,Snorunt,22,01-25,2,18|4
362,Glalie,14,01-25,1,14
363,Spheal,18,01-25,1,18
364,Sealeo,15,01-25,1,15
365,Walrein,14,01-25,1,14
366,Clamperl,9,01-25,1,9
367,Huntail,8,01-25,1,8
368,Gorebyss,9,01-25,1,9
369,Relicanth,17,01-25,1,17
370,Luvdisc,15,01-25,1,15
371,Bagon,23,01-25,2,18|5
372,Shelgon,19,01-25,2,18|1
373,Salamence,31,26-40,2,18|13
374,Beldum,27,26-40,2,18|9
375,Metang,28,26-40,2,18|10
376,Metagross,38,26-40,3,18|18|2
377,Regirock,21,01-25,2,18|3
378,Regice,13,01-25,1,13
379,Registeel,16,01-25,1,16
380,Latias,40,26-40,3,18|18|4
381,Latios,42,41-60,3,18|18|6
382,Kyogre,35,26-40,2,18|17
383,Groudon,36,26-40,2,18|18
384,Rayquaza,67,61-80,4,18|18|18|13
385,Jirachi,30,26-40,2,18|12
386,Deoxys,45,41-60,3,18|18|9
387,Turtwig,21,01-25,2,18|3
388,Grotle,10,01-25,1,10
389,Torterra,14,01-25,1,14
390,Chimchar,22,01-25,2,18|4
391,Monferno,12,01-25,1,12
392,Infernape,22,01-25,2,18|4
393,Piplup,33,26-40,2,18|15
394,Prinplup,13,01-25,1,13
395,Empoleon,26,26-40,2,18|8
396,Starly,18,01-25,1,18
397,Staravia,15,01-25,1,15
398,Staraptor,17,01-25,1,17
399,Bidoof,24,01-25,2,18|6
400,Bibarel,18,01-25,1,18
401,Kricketot,11,01-25,1,11
402,Kricketune,14,01-25,1,14
403,Shinx,30,26-40,2,18|12
404,Luxio,25,01-25,2,18|7
405,Luxray,33,26-40,2,18|15
406,Budew,7,01-25,1,7
407,Roserade,20,01-25,2,18|2
408,Cranidos,8,01-25,1,8
409,Rampardos,9,01-25,1,9
410,Shieldon,8,01-25,1,8
411,Bastiodon,12,01-25,1,12
412,Burmy,14,01-25,1,14
413,Wormadam,16,01-25,1,16
414,Mothim,8,01-25,1,8
415,Combee,16,01-25,1,16
416,Vespiquen,17,01-25,1,17
417,Pachirisu,31,26-40,2,18|13
418,Buizel,21,01-25,2,18|3
419,Floatzel,20,01-25,2,18|2
420,Cherubi,16,01-25,1,16
421,Cherrim,17,01-25,1,17
422,Shellos,10,01-25,1,10
423,Gastrodon,10,01-25,1,10
424,Ambipom,18,01-25,1,18
425,Drifloon,23,01-25,2,18|5
426,Drifblim,23,01-25,2,18|5
427,Buneary,21,01-25,2,18|3
428,Lopunny,26,26-40,2,18|8
429,Mismagius,29,26-40,2,18|11
430,Honchkrow,27,26-40,2,18|9
431,Glameow,14,01-25,1,14
432,Purugly,12,01-25,1,12
433,Chingling,5,01-25,1,5
434,Stunky,12,01-25,1,12
435,Skuntank,15,01-25,1,15
436,Bronzor,26,26-40,2,18|8
437,Bronzong,32,26-40,2,18|14
438,Bonsly,4,01-25,1,4
439,Mime Jr.,7,01-25,1,7
440,Happiny,6,01-25,1,6
441,Chatot,20,01-25,2,18|2
442,Spiritomb,30,26-40,2,18|12
443,Gible,24,01-25,2,18|6
444,Gabite,21,01-25,2,18|3
445,Garchomp,46,41-60,3,18|18|10
446,Munchlax,7,01-25,1,7
447,Riolu,42,41-60,3,18|18|6
448,Lucario,75,61-80,5,18|18|18|18|3
449,Hippopotas,17,01-25,1,17
450,Hippowdon,17,01-25,1,17
451,Skorupi,12,01-25,1,12
452,Drapion,21,01-25,2,18|3
453,Croagunk,25,01-25,2,18|7
454,Toxicroak,24,01-25,2,18|6
455,Carnivine,21,01-25,2,18|3
456,Finneon,9,01-25,1,9
457,Lumineon,13,01-25,1,13
458,Mantyke,6,01-25,1,6
459,Snover,17,01-25,1,17
460,Abomasnow,18,01-25,1,18
461,Weavile,30,26-40,2,18|12
462,Magnezone,36,26-40,2,18|18
463,Lickilicky,18,01-25,1,18
464,Rhyperior,17,01-25,1,17
465,Tangrowth,22,01-25,2,18|4
466,Electivire,25,01-25,2,18|7
467,Magmortar,20,01-25,2,18|2
468,Togekiss,20,01-25,2,18|2
469,Yanmega,27,26-40,2,18|9
470,Leafeon,43,41-60,3,18|18|7
471,Glaceon,41,41-60,3,18|18|5
472,Gliscor,19,01-25,2,18|1
473,Mamoswine,14,01-25,1,14
474,Porygon-Z,22,01-25,2,18|4
475,Gallade,29,26-40,2,18|11
476,Probopass,24,01-25,2,18|6
477,Dusknoir,20,01-25,2,18|2
478,Froslass,19,01-25,2,18|1
479,Rotom,61,61-80,4,18|18|18|7
480,Uxie,9,01-25,1,9
481,Mesprit,11,01-25,1,11
482,Azelf,10,01-25,1,10
483,Dialga,55,41-60,4,18|18|18|1
484,Palkia,47,41-60,3,18|18|11
485,Heatran,33,26-40,2,18|15
486,Regigigas,25,01-25,2,18|7
487,Giratina,40,26-40,3,18|18|4
488,Cresselia,21,01-25,2,18|3
489,Phione,11,01-25,1,11
490,Manaphy,24,01-25,2,18|6
491,Darkrai,51,41-60,3,18|18|15
492,Shaymin,44,41-60,3,18|18|8
493,Arceus,42,41-60,3,18|18|6
494,Victini,40,26-40,3,18|18|4
495,Snivy,23,01-25,2,18|5
496,Servine,14,01-25,1,14
497,Serperior,24,01-25,2,18|6
498,Tepig,17,01-25,1,17
499,Pignite,11,01-25,1,11
500,Emboar,15,01-25,1,15
501,Oshawott,16,01-25,1,16
502,Dewott,11,01-25,1,11
503,Samurott,21,01-25,2,18|3
504,Patrat,16,01-25,1,16
505,Watchog,14,01-25,1,14
506,Lillipup,17,01-25,1,17
507,Herdier,14,01-25,1,14
508,Stoutland,18,01-25,1,18
509,Purrloin,26,26-40,2,18|8
510,Liepard,22,01-25,2,18|4
511,Pansage,16,01-25,1,16
512,Simisage,12,01-25,1,12
513,Pansear,18,01-25,1,18
514,Simisear,19,01-25,2,18|1
515,Panpour,13,01-25,1,13
516,Simipour,12,01-25,1,12
517,Munna,13,01-25,1,13
518,Musharna,12,01-25,1,12
519,Pidove,16,01-25,1,16
520,Tranquill,12,01-25,1,12
521,Unfezant,12,01-25,1,12
522,Blitzle,23,01-25,2,18|5
523,Zebstrika,19,01-25,2,18|1
524,Roggenrola,10,01-25,1,10
525,Boldore,10,01-25,1,10
526,Gigalith,12,01-25,1,12
527,Woobat,16,01-25,1,16
528,Swoobat,14,01-25,1,14
529,Drilbur,22,01-25,2,18|4
530,Excadrill,28,26-40,2,18|10
531,Audino,24,01-25,2,18|6
532,Timburr,15,01-25,1,15
533,Gurdurr,12,01-25,1,12
534,Conkeldurr,13,01-25,1,13
535,Tympole,13,01-25,1,13
536,Palpitoad,13,01-25,1,13
537,Seismitoad,14,01-25,1,14
538,Throh,9,01-25,1,9
539,Sawk,9,01-25,1,9
540,Sewaddle,13,01-25,1,13
541,Swadloon,11,01-25,1,11
542,Leavanny,11,01-25,1,11
543,Venipede,10,01-25,1,10
544,Whirlipede,10,01-25,1,10
545,Scolipede,10,01-25,1,10
546,Cottonee,20,01-25,2,18|2
547,Whimsicott,29,26-40,2,18|11
548,Petilil,17,01-25,1,17
549,Lilligant,23,01-25,2,18|5
550,Basculin,13,01-25,1,13
551,Sandile,19,01-25,2,18|1
552,Krokorok,17,01-25,1,17
553,Krookodile,18,01-25,1,18
554,Darumaka,22,01-25,2,18|4
555,Darmanitan,26,26-40,2,18|8
556,Maractus,15,01-25,1,15
557,Dwebble,13,01-25,1,13
558,Crustle,16,01-25,1,16
559,Scraggy,21,01-25,2,18|3
560,Scrafty,20,01-25,2,18|2
561,Sigilyph,19,01-25,2,18|1
562,Yamask,15,01-25,1,15
563,Cofagrigus,13,01-25,1,13
564,Tirtouga,7,01-25,1,7
565,Carracosta,8,01-25,1,8
566,Archen,7,01-25,1,7
567,Archeops,10,01-25,1,10
568,Trubbish,20,01-25,2,18|2
569,Garbodor,25,01-25,2,18|7
570,Zorua,33,26-40,2,18|15
571,Zoroark,52,41-60,3,18|18|16
572,Minccino,26,26-40,2,18|8
573,Cinccino,26,26-40,2,18|8
574,Gothita,15,01-25,1,15
575,Gothorita,13,01-25,1,13
576,Gothitelle,11,01-25,1,11
577,Solosis,11,01-25,1,11
578,Duosion,10,01-25,1,10
579,Reuniclus,14,01-25,1,14
580,Ducklett,19,01-25,2,18|1
581,Swanna,19,01-25,2,18|1
582,Vanillite,15,01-25,1,15
583,Vanillish,15,01-25,1,15
584,Vanilluxe,13,01-25,1,13
585,Deerling,9,01-25,1,9
586,Sawsbuck,8,01-25,1,8
587,Emolga,22,01-25,2,18|4
588,Karrablast,13,01-25,1,13
589,Escavalier,13,01-25,1,13
590,Foongus,12,01-25,1,12
591,Amoonguss,12,01-25,1,12
592,Frillish,11,01-25,1,11
593,Jellicent,13,01-25,1,13
594,Alomomola,11,01-25,1,11
595,Joltik,23,01-25,2,18|5
596,Galvantula,20,01-25,2,18|2
597,Ferroseed,15,01-25,1,15
598,Ferrothorn,15,01-25,1,15
599,Klink,15,01-25,1,15
600,Klang,14,01-25,1,14
601,Klinklang,13,01-25,1,13
602,Tynamo,20,01-25,2,18|2
603,Eelektrik,18,01-25,1,18
604,Eelektross,18,01-25,1,18
605,Elgyem,13,01-25,1,13
606,Beheeyem,11,01-25,1,11
607,Litwick,21,01-25,2,18|3
608,Lampent,18,01-25,1,18
609,Chandelure,27,26-40,2,18|9
610,Axew,17,01-25,1,17
611,Fraxure,13,01-25,1,13
612,Haxorus,13,01-25,1,13
613,Cubchoo,12,01-25,1,12
614,Beartic,12,01-25,1,12
615,Cryogonal,12,01-25,1,12
616,Shelmet,11,01-25,1,11
617,Accelgor,12,01-25,1,12
618,Stunfisk,29,26-40,2,18|11
619,Mienfoo,14,01-25,1,14
620,Mienshao,14,01-25,1,14
621,Druddigon,18,01-25,1,18
622,Golett,15,01-25,1,15
623,Golurk,20,01-25,2,18|2
624,Pawniard,27,26-40,2,18|9
625,Bisharp,28,26-40,2,18|10
626,Bouffalant,18,01-25,1,18
627,Rufflet,17,01-25,1,17
628,Braviary,16,01-25,1,16
629,Vullaby,15,01-25,1,15
630,Mandibuzz,14,01-25,1,14
631,Heatmor,18,01-25,1,18
632,Durant,22,01-25,2,18|4
633,Deino,16,01-25,1,16
634,Zweilous,15,01-25,1,15
635,Hydreigon,27,26-40,2,18|9
636,Larvesta,20,01-25,2,18|2
637,Volcarona,24,01-25,2,18|6
638,Cobalion,19,01-25,2,18|1
639,Terrakion,16,01-25,1,16
640,Virizion,21,01-25,2,18|3
641,Tornadus,23,01-25,2,18|5
642,Thundurus,18,01-25,1,18
643,Reshiram,46,41-60,3,18|18|10
644,Zekrom,38,26-40,3,18|18|2
645,Landorus,15,01-25,1,15
646,Kyurem,50,41-60,3,18|18|14
647,Keldeo,24,01-25,2,18|6
648,Meloetta,22,01-25,2,18|4
649,Genesect,28,26-40,2,18|10
650,Chespin,13,01-25,1,13
651,Quilladin,5,01-25,1,5
652,Chesnaught,10,01-25,1,10
653,Fennekin,16,01-25,1,16
654,Braixen,14,01-25,1,14
655,Delphox,14,01-25,1,14
656,Froakie,27,26-40,2,18|9
657,Frogadier,19,01-25,2,18|1
658,Greninja,49,41-60,3,18|18|13
659,Bunnelby,17,01-25,1,17
660,Diggersby,11,01-25,1,11
661,Fletchling,24,01-25,2,18|6
662,Fletchinder,17,01-25,1,17
663,Talonflame,18,01-25,1,18
664,Scatterbug,9,01-25,1,9
665,Spewpa,9,01-25,1,9
666,Vivillon,11,01-25,1,11
667,Litleo,16,01-25,1,16
668,Pyroar,18,01-25,1,18
669,Flabébé,12,01-25,1,12
670,Floette,14,01-25,1,14
671,Florges,11,01-25,1,11
672,Skiddo,11,01-25,1,11
673,Gogoat,10,01-25,1,10
674,Pancham,15,01-25,1,15
675,Pangoro,14,01-25,1,14
676,Furfrou,25,01-25,2,18|7
677,Espurr,14,01-25,1,14
678,Meowstic,16,01-25,1,16
679,Honedge,20,01-25,2,18|2
680,Doublade,17,01-25,1,17
681,Aegislash,25,01-25,2,18|7
682,Spritzee,9,01-25,1,9
683,Aromatisse,8,01-25,1,8
684,Swirlix,17,01-25,1,17
685,Slurpuff,16,01-25,1,16
686,Inkay,20,01-25,2,18|2
687,Malamar,25,01-25,2,18|7
688,Binacle,9,01-25,1,9
689,Barbaracle,8,01-25,1,8
690,Skrelp,9,01-25,1,9
691,Dragalge,14,01-25,1,14
692,Clauncher,9,01-25,1,9
693,Clawitzer,10,01-25,1,10
694,Helioptile,19,01-25,2,18|1
695,Heliolisk,20,01-25,2,18|2
696,Tyrunt,5,01-25,1,5
697,Tyrantrum,7,01-25,1,7
698,Amaura,4,01-25,1,4
699,Aurorus,7,01-25,1,7
700,Sylveon,45,41-60,3,18|18|9
701,Hawlucha,26,26-40,2,18|8
702,Dedenne,34,26-40,2,18|16
703,Carbink,14,01-25,1,14
704,Goomy,12,01-25,1,12
705,Sliggoo,11,01-25,1,11
706,Goodra,16,01-25,1,16
707,Klefki,16,01-25,1,16
708,Phantump,16,01-25,1,16
709,Trevenant,27,26-40,2,18|9
710,Pumpkaboo,9,01-25,1,9
711,Gourgeist,9,01-25,1,9
712,Bergmite,7,01-25,1,7
713,Avalugg,7,01-25,1,7
714,Noibat,18,01-25,1,18
715,Noivern,25,01-25,2,18|7
716,Xerneas,25,01-25,2,18|7
717,Yveltal,29,26-40,2,18|11
718,Zygarde,28,26-40,2,18|10
719,Diancie,19,01-25,2,18|1
720,Hoopa,26,26-40,2,18|8
721,Volcanion,22,01-25,2,18|4
